"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","10110_20_29_A","10110_20_29","A",17,"Rocky Mountain Aspen Forest and Woodland",1249,1,6294,10110,29,124040,5
"2","10110_20_29_B","10110_20_29","B",18,"Rocky Mountain Aspen Forest and Woodland",1249,2,8608,10110,29,124040,6
"3","10110_20_29_C","10110_20_29","C",25,"Rocky Mountain Aspen Forest and Woodland",1249,3,12704,10110,29,124040,10
"4","10110_20_29_D","10110_20_29","D",26,"Rocky Mountain Aspen Forest and Woodland",1249,4,64804,10110,29,124040,52
"5","10110_20_29_E","10110_20_29","E",14,"Rocky Mountain Aspen Forest and Woodland",1249,5,26266,10110,29,124040,21
"6","10110_20_29_Agriculture","10110_20_29","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",1249,180,342,10110,29,124040,0
"7","10110_20_29_Developed","10110_20_29","Developed",0,"Rocky Mountain Aspen Forest and Woodland",1249,120,1074,10110,29,124040,0
"8","10110_20_29_Water","10110_20_29","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"9","10110_20_29_UN","10110_20_29","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"10","10110_20_29_UE","10110_20_29","UE",0,"Rocky Mountain Aspen Forest and Woodland",1249,7,3948,10110,29,124040,3
"11","10480_29_A","10480_29","A",9,"Northwestern Great Plains Highland White Spruce Woodland",1250,1,21706,10480,29,395702,5
"12","10480_29_B","10480_29","B",8,"Northwestern Great Plains Highland White Spruce Woodland",1250,2,11916,10480,29,395702,3
"13","10480_29_C","10480_29","C",22,"Northwestern Great Plains Highland White Spruce Woodland",1250,3,847,10480,29,395702,0
"14","10480_29_D","10480_29","D",30,"Northwestern Great Plains Highland White Spruce Woodland",1250,4,6110,10480,29,395702,1
"15","10480_29_E","10480_29","E",31,"Northwestern Great Plains Highland White Spruce Woodland",1250,5,335878,10480,29,395702,84
"16","10480_29_Agriculture","10480_29","Agriculture",0,"Northwestern Great Plains Highland White Spruce Woodland",1250,180,611,10480,29,395702,0
"17","10480_29_Developed","10480_29","Developed",0,"Northwestern Great Plains Highland White Spruce Woodland",1250,120,11470,10480,29,395702,2
"18","10480_29_Water","10480_29","Water",0,"Northwestern Great Plains Highland White Spruce Woodland",NA,NA,NA,NA,NA,NA,NA
"19","10480_29_UN","10480_29","UN",0,"Northwestern Great Plains Highland White Spruce Woodland",NA,NA,NA,NA,NA,NA,NA
"20","10480_29_UE","10480_29","UE",0,"Northwestern Great Plains Highland White Spruce Woodland",1250,7,7164,10480,29,395702,1
"21","10490_19_20_21_23_28_29_A","10490_19_20_21_23_28_29","A",21,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1251,1,7,10490,29,74,9
"22","10490_19_20_21_23_28_29_B","10490_19_20_21_23_28_29","B",31,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1251,2,51,10490,29,74,68
"23","10490_19_20_21_23_28_29_C","10490_19_20_21_23_28_29","C",48,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1251,3,13,10490,29,74,17
"24","10490_19_20_21_23_28_29_D","10490_19_20_21_23_28_29","D",NA,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"25","10490_19_20_21_23_28_29_E","10490_19_20_21_23_28_29","E",NA,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"26","10490_19_20_21_23_28_29_Agriculture","10490_19_20_21_23_28_29","Agriculture",0,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"27","10490_19_20_21_23_28_29_Developed","10490_19_20_21_23_28_29","Developed",0,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
